Rk,School,SRS,Games,Wins,Losses,PCT,SOS,TeamPTS,OppPTS
58,Oregon,10.54,33,19,14,0.576,8.29,2389,2293
59,Davidson NCAA,10.49,33,27,6,0.818,1.68,2494,2170
60,Murray State NCAA,10.46,32,30,2,0.938,-3.54,2538,1993
61,Saint Louis,10.45,34,23,11,0.676,3.51,2598,2296
62,West Virginia,10.24,33,16,17,0.485,10.75,2259,2276
63,Brigham Young,10.23,32,22,10,0.688,5.63,2358,2172
64,Dayton,10.13,33,23,10,0.697,2.16,2281,2018
65,Miami (FL) NCAA,10.1,33,23,10,0.697,6.32,2469,2344
66,Wyoming NCAA,10.09,33,25,8,0.758,3.9,2408,2161
67,Syracuse,9.89,33,16,17,0.485,7.59,2553,2477
68,Virginia Commonwealth,9.82,30,21,9,0.7,5.02,1982,1838
69,Maryland,9.74,32,15,17,0.469,9.52,2270,2263
70,Santa Clara,9.69,32,21,11,0.656,3.75,2500,2310
71,Northwestern,9.37,31,15,16,0.484,7.57,2262,2168
72,North Texas,9.33,30,24,6,0.8,1.15,1947,1649
73,Clemson,9.31,33,17,16,0.515,6.04,2367,2259
74,Rutgers NCAA,9.19,31,18,13,0.581,7.1,2105,2040
75,Penn State,9.15,31,14,17,0.452,9.53,2003,2015
76,Missouri State,9.06,33,23,10,0.697,1.06,2556,2253
77,Fresno State,8.87,32,19,13,0.594,3.16,2069,1872
78,Wichita State,8.32,28,15,13,0.536,6.21,1917,1858
79,Virginia,8.29,32,19,13,0.594,5.92,2002,1926
80,DePaul,8.2,31,15,16,0.484,7.1,2272,2238
81,Arizona State,8.17,31,14,17,0.452,10.01,2027,2084
82,St. Bonaventure,7.88,29,20,9,0.69,4.05,2034,1923
83,Drake,7.82,34,24,10,0.706,1.79,2498,2250
84,Vermont NCAA,7.79,33,28,5,0.848,-6.27,2473,1990
85,Nevada-Las Vegas,7.76,32,18,14,0.563,5.14,2236,2099
86,Cincinnati,7.59,33,18,15,0.545,4.44,2291,2176
87,South Carolina,7.42,31,18,13,0.581,8.65,2200,2178
88,Richmond NCAA,7.38,35,23,12,0.657,3.95,2510,2390
89,South Dakota State NCAA,7.24,34,30,4,0.882,-3.73,2948,2495
90,Toledo,7.06,33,26,7,0.788,-3.31,2662,2260
91,Mississippi,7.05,32,13,19,0.406,7.58,2180,2197
92,Belmont,7.02,32,25,7,0.781,-2.69,2512,2182
93,Tulane,6.83,29,14,15,0.483,5.41,2121,2080
94,Stanford,6.82,32,16,16,0.5,9.13,2124,2198
95,New Mexico State NCAA,6.79,32,26,6,0.813,0.58,2346,2081
96,Towson,6.42,33,25,8,0.758,-2.76,2414,2111
97,Minnesota,6.41,30,13,17,0.433,8.61,2010,2076
98,Central Florida,6.32,30,18,12,0.6,4.72,2095,2047
99,Bradley,6.24,31,17,14,0.548,1.64,2185,2021
100,Furman,6.23,34,22,12,0.647,-1.41,2640,2336
101,Florida State,6.17,31,17,14,0.548,7.11,2201,2230
102,Northern Iowa,6.16,30,19,11,0.633,3.41,2232,2115
103,Grand Canyon,6.13,31,23,8,0.742,-2.25,2204,1898
104,Chattanooga NCAA,5.94,34,27,7,0.794,-1.38,2543,2199
105,Utah,5.87,31,11,20,0.355,7.03,2161,2197
106,Washington,5.54,32,17,15,0.531,7.23,2260,2314
107,Louisiana Tech,5.47,34,24,10,0.706,0.34,2558,2312
108,Iona,5.15,32,25,7,0.781,-1.82,2408,2185
109,Temple,4.76,29,17,12,0.586,4.45,1936,1927
110,Butler,4.74,33,14,19,0.424,9.45,2107,2209
111,California,4.49,32,12,20,0.375,7.49,2018,2114
112,George Mason,4.31,30,14,16,0.467,2.11,2122,2056
113,Nevada,4.28,31,13,18,0.419,6.65,2249,2284
114,Middle Tennessee,3.99,33,23,10,0.697,-0.92,2456,2217
115,Louisville,3.93,32,13,19,0.406,6.71,2154,2243
116,Boston College,3.67,33,13,20,0.394,4.85,2209,2248
117,Nebraska,3.49,32,10,22,0.313,8.74,2345,2513
118,Western Kentucky,3.47,32,19,13,0.594,0.41,2414,2214
119,NC State,3.46,32,11,21,0.344,6.05,2336,2419
120,Stephen F. Austin,3.41,31,22,9,0.71,-1.22,2317,2110
121,Missouri,3.33,33,12,21,0.364,9.48,2160,2325
122,Southern Illinois,3.25,31,16,15,0.516,1.15,1985,1902
123,Florida Atlantic,3.06,33,19,14,0.576,-1.64,2448,2241
124,Rhode Island,2.98,31,15,16,0.484,1.28,2081,2015
125,Princeton,2.89,29,23,6,0.793,-4.38,2316,2013
126,Utah Valley,2.72,32,20,12,0.625,-1.25,2279,2084
127,Abilene Christian,2.7,33,23,10,0.697,-2.06,2519,2191
128,Seattle,2.29,32,23,9,0.719,-3.77,2395,2132
129,Buffalo,2.21,30,19,11,0.633,-2.9,2398,2168
130,Wofford,2.13,32,19,13,0.594,-1.43,2322,2120
131,Liberty,2.1,33,22,11,0.667,-3.77,2421,2094
