title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_swift
illicit affairs,Taylor Swift,['pop'],98,70,0.559,0.31,10,-10.445,1,0.881,0,0.106,0.46,119.845,190898,1
Pursuit Of Happiness (Nightmare),Kid Cudi,"['hip hop', 'ohio hip hop', 'rap']",86,70,0.63,0.605,0,-8.951,1,0.484,9.29E-05,0.298,0.266,115.277,295293,0
Till Forever Falls Apart,Ashe,"['alt z', 'electropop', 'pop']",74,70,0.346,0.501,2,-6.939,1,0.421,0,0.0657,0.299,99.855,222927,0
Back To You,Selena Gomez,"['dance pop', 'pop', 'post-teen pop']",86,69,0.6,0.683,6,-6.271,1,0.0984,1.26E-06,0.11,0.494,102.036,210240,0
Come Back...Be Here (Taylor's Version),Taylor Swift,['pop'],98,69,0.46,0.632,4,-6.031,1,0.0158,0,0.0822,0.399,79.846,223333,1
King Of My Heart,Taylor Swift,['pop'],98,69,0.675,0.703,0,-7.902,1,0.00882,2.21E-06,0.0391,0.314,110.01,214320,1
Cold Cold Cold,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,68,0.549,0.789,5,-6.071,1,0.0178,6.70E-05,0.059,0.715,136.125,214387,0
gold rush,Taylor Swift,['pop'],98,68,0.512,0.462,9,-10.491,1,0.83,0.166,0.121,0.353,112.05,185320,1
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,['pop'],98,68,0.502,0.534,2,-5.954,1,0.0399,0,0.0977,0.155,94.05,299080,1
Treacherous (Taylor's Version),Taylor Swift,['pop'],98,68,0.645,0.593,2,-6.506,1,0.0344,0.000127,0.13,0.299,109.984,242720,1
Fluorescent Adolescent,Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",88,67,0.646,0.813,6,-5.29,0,0.00178,2.26E-05,0.144,0.821,112.115,173493,0
I Almost Do (Taylor's Version),Taylor Swift,['pop'],98,67,0.511,0.559,4,-6.587,1,0.0167,0,0.113,0.248,145.88,244587,1
ivy,Taylor Swift,['pop'],98,67,0.515,0.545,2,-9.277,1,0.855,1.97E-05,0.0921,0.535,88.856,260440,1
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],98,67,0.66,0.817,11,-6.269,0,0.162,0,0.0667,0.714,135.942,277592,1
Shut Off The Lights,Bastille,"['metropopolis', 'modern rock', 'pop', 'pop rock']",80,67,0.624,0.908,10,-3.215,1,0.408,0,0.139,0.659,105.048,187364,0
Cold Cold Man,Saint Motel,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",68,65,0.613,0.661,9,-4.984,1,0.00652,0,0.0976,0.509,110.978,230773,0
Forever & Always (Taylor’s Version),Taylor Swift,['pop'],98,65,0.598,0.821,10,-4.433,1,0.0231,0,0.143,0.673,128.03,225328,1
New Romantics,Taylor Swift,['pop'],98,65,0.633,0.889,5,-5.87,1,0.00463,0.000458,0.0658,0.584,121.956,230467,1
Video Games,Lana Del Rey,"['art pop', 'pop']",89,65,0.236,0.249,6,-9.595,0,0.811,1.00E-06,0.087,0.181,72.847,281960,0
‘tis the damn season,Taylor Swift,['pop'],98,64,0.575,0.434,5,-8.193,1,0.735,6.59E-05,0.105,0.348,145.916,229840,1
Line Without a Hook (feat. mxmtoon),Ricky Montgomery,"['indie pop', 'la indie', 'pop']",75,64,0.589,0.605,8,-7.237,1,0.0658,0,0.332,0.503,95.084,251281,0
September,James Arthur,"['pop', 'talent show', 'uk pop']",83,64,0.641,0.551,9,-6.165,1,0.147,0,0.12,0.417,102.912,220891,0
White Horse (Taylor’s Version),Taylor Swift,['pop'],98,64,0.423,0.517,0,-7.377,1,0.369,0,0.177,0.366,185.262,234516,1
The Other Side Of The Door (Taylor’s Version),Taylor Swift,['pop'],98,63,0.432,0.873,4,-4.367,1,0.0279,0,0.167,0.629,163.936,238444,1
Cornelia Street - Live From Paris,Taylor Swift,['pop'],98,62,0.502,0.462,11,-7.526,1,0.578,0,0.721,0.304,97.085,296013,1
happiness,Taylor Swift,['pop'],98,62,0.559,0.334,11,-10.733,1,0.87,0,0.114,0.211,122.079,315147,1
mirrorball,Taylor Swift,['pop'],98,62,0.549,0.417,7,-10.064,1,0.686,1.90E-06,0.0604,0.347,110.137,208973,1
