playlist,danceability,energy,acousticness,instrumentalness,liveness,valence
1,0.843,0.7,0.0934,0,0.14,0.899
1,0.684,0.545,0.159,0,0.102,0.407
1,0.603,0.691,0.0248,0,0.583,0.577
1,0.695,0.54,0.299,0,0.367,0.415
1,0.687,0.781,0.0361,0,0.0755,0.688
1,0.727,0.739,0.365,0.00137,0.161,0.533
1,0.604,0.366,0.578,0,0.133,0.13
1,0.362,0.54,0.338,0,0.139,0.3
1,0.814,0.628,0.167,0,0.101,0.677
1,0.773,0.742,0.0206,0,0.0754,0.571
1,0.671,0.673,0.148,5.29E-05,0.304,0.494
1,0.812,0.736,0.152,0.00254,0.0914,0.396
1,0.937,0.793,0.0453,0,0.341,0.794
1,0.808,0.897,0.0469,3.14E-05,0.364,0.591
1,0.664,0.609,0.304,0,0.0926,0.194
1,0.544,0.786,0.00991,0,0.169,0.446
1,0.556,0.661,0.3,0,0.101,0.668
1,0.334,0.599,0.0468,0.000392,0.205,0.127
1,0.588,0.701,0.00813,0,0.2,0.443
1,0.762,0.766,0.00776,6.98E-05,0.128,0.442
1,0.783,0.75,0.426,0,0.241,0.88
1,0.684,0.449,0.869,0,0.0881,0.341
1,0.663,0.251,0.88,0,0.0932,0.528
1,0.869,0.694,0.356,0.00125,0.0878,0.511
1,0.534,0.725,0.091,0,0.0264,0.55
